Generation  Average Mean Fitness  Standard Deviation Mean Fitness  Average Best Fitness  Standard Deviation Best Fitness
          1              0.033440                         0.000420              0.055821                         0.007445
          2              0.034334                         0.000656              0.064737                         0.008944
          3              0.035408                         0.000874              0.067786                         0.010905
          4              0.036813                         0.001200              0.075772                         0.016931
          5              0.038705                         0.001702              0.077764                         0.016151
          6              0.040941                         0.002364              0.079482                         0.014812
          7              0.043414                         0.003237              0.085517                         0.017699
          8              0.046183                         0.004173              0.088106                         0.016713
          9              0.049188                         0.004784              0.093143                         0.015760
         10              0.052199                         0.004863              0.098573                         0.019057
         11              0.055451                         0.005263              0.099122                         0.018249
         12              0.058878                         0.006246              0.099122                         0.018249
         13              0.062139                         0.007039              0.101430                         0.016506
         14              0.065284                         0.007509              0.105758                         0.013537
         15              0.068749                         0.008720              0.109690                         0.016866
         16              0.071327                         0.009127              0.109690                         0.016866
         17              0.074505                         0.010089              0.113496                         0.018044
         18              0.077145                         0.011508              0.113496                         0.018044
         19              0.079001                         0.012150              0.113496                         0.018044
         20              0.081578                         0.012768              0.118377                         0.022625
         21              0.083409                         0.013111              0.119766                         0.022556
         22              0.086181                         0.013377              0.119766                         0.022556
         23              0.087582                         0.014143              0.121154                         0.022391
         24              0.088719                         0.013017              0.124766                         0.020007
         25              0.090443                         0.013645              0.126551                         0.020811
         26              0.091514                         0.013510              0.126551                         0.020811
         27              0.093167                         0.014194              0.134051                         0.031141
         28              0.094028                         0.014180              0.135440                         0.030302
         29              0.095601                         0.014223              0.135440                         0.030302
         30              0.097106                         0.013460              0.135440                         0.030302
         31              0.098330                         0.013835              0.137226                         0.030144
         32              0.100462                         0.014014              0.140797                         0.029468
         33              0.102043                         0.013778              0.140797                         0.029468
         34              0.104494                         0.014103              0.140797                         0.029468
         35              0.106373                         0.014654              0.140797                         0.029468
         36              0.108730                         0.016444              0.143178                         0.030593
         37              0.110462                         0.017237              0.146512                         0.034943
         38              0.111914                         0.017727              0.146512                         0.034943
         39              0.114314                         0.019321              0.146512                         0.034943
         40              0.115100                         0.019465              0.146512                         0.034943
         41              0.115957                         0.019147              0.146512                         0.034943
         42              0.115955                         0.019416              0.146512                         0.034943
         43              0.118485                         0.021065              0.146512                         0.034943
         44              0.119266                         0.021213              0.151512                         0.045446
         45              0.119955                         0.021691              0.151512                         0.045446
         46              0.120054                         0.021896              0.151512                         0.045446
         47              0.121864                         0.023883              0.151512                         0.045446
         48              0.123211                         0.026006              0.151512                         0.045446
         49              0.123694                         0.025838              0.151512                         0.045446
         50              0.125328                         0.028433              0.151512                         0.045446
