Generation  Average Mean Fitness  Standard Deviation Mean Fitness  Average Best Fitness  Standard Deviation Best Fitness
          1              0.033412                         0.000446              0.057967                         0.006821
          2              0.034245                         0.000471              0.065049                         0.006809
          3              0.035256                         0.000572              0.068168                         0.007091
          4              0.036566                         0.000711              0.069002                         0.006548
          5              0.038268                         0.000908              0.074952                         0.008755
          6              0.040323                         0.001131              0.076454                         0.007791
          7              0.042940                         0.001459              0.078761                         0.007392
          8              0.045859                         0.002252              0.084800                         0.008514
          9              0.049264                         0.003780              0.088298                         0.007618
         10              0.052694                         0.004883              0.091632                         0.008405
         11              0.055986                         0.005682              0.093652                         0.010402
         12              0.059162                         0.006900              0.094561                         0.010532
         13              0.061941                         0.007129              0.097071                         0.009899
         14              0.064334                         0.006537              0.100606                         0.008264
         15              0.067143                         0.007039              0.106237                         0.010638
         16              0.069691                         0.007498              0.106237                         0.010638
         17              0.072359                         0.008159              0.108023                         0.014816
         18              0.075078                         0.008079              0.108023                         0.014816
         19              0.077691                         0.008173              0.108023                         0.014816
         20              0.079882                         0.008625              0.108932                         0.013900
         21              0.082128                         0.007758              0.111432                         0.014355
         22              0.084382                         0.007204              0.113218                         0.017082
         23              0.086679                         0.006998              0.116392                         0.019435
         24              0.087675                         0.005956              0.119567                         0.021006
         25              0.088520                         0.006092              0.120956                         0.020843
         26              0.089739                         0.006522              0.120956                         0.020843
         27              0.090325                         0.006096              0.126670                         0.032235
         28              0.091579                         0.006823              0.126670                         0.032235
         29              0.093007                         0.007040              0.126670                         0.032235
         30              0.094085                         0.007856              0.128059                         0.031786
         31              0.095846                         0.009488              0.130440                         0.033843
         32              0.097774                         0.010993              0.130440                         0.033843
         33              0.098772                         0.011713              0.130440                         0.033843
         34              0.100183                         0.013707              0.130440                         0.033843
         35              0.101774                         0.015528              0.130440                         0.033843
         36              0.103170                         0.016826              0.130440                         0.033843
         37              0.105108                         0.019018              0.130440                         0.033843
         38              0.106041                         0.020324              0.130440                         0.033843
         39              0.107521                         0.021916              0.130440                         0.033843
         40              0.108364                         0.022412              0.130440                         0.033843
         41              0.108691                         0.022938              0.130440                         0.033843
         42              0.108861                         0.023486              0.130440                         0.033843
         43              0.109705                         0.023263              0.130440                         0.033843
         44              0.110524                         0.024116              0.130440                         0.033843
         45              0.110670                         0.024489              0.130440                         0.033843
         46              0.110674                         0.025239              0.130440                         0.033843
         47              0.110433                         0.023983              0.130440                         0.033843
         48              0.111407                         0.025473              0.130440                         0.033843
         49              0.111327                         0.024438              0.131551                         0.032902
         50              0.111453                         0.024606              0.131551                         0.032902
