Generation  Average Mean Fitness  Standard Deviation Mean Fitness  Average Best Fitness  Standard Deviation Best Fitness
          1              0.033379                         0.000304              0.058661                         0.010740
          2              0.034126                         0.000449              0.062230                         0.008520
          3              0.035093                         0.000535              0.064493                         0.007984
          4              0.036355                         0.000761              0.069286                         0.008177
          5              0.037939                         0.001081              0.072246                         0.008578
          6              0.039940                         0.001371              0.078536                         0.009591
          7              0.042493                         0.002078              0.078060                         0.010088
          8              0.045228                         0.002918              0.081106                         0.013424
          9              0.047458                         0.003645              0.087733                         0.015969
         10              0.050394                         0.003965              0.089608                         0.014814
         11              0.053408                         0.004424              0.091707                         0.013930
         12              0.056408                         0.005342              0.095278                         0.014584
         13              0.059431                         0.005976              0.096389                         0.015385
         14              0.061719                         0.005849              0.108932                         0.026601
         15              0.064106                         0.006451              0.108932                         0.026601
         16              0.066944                         0.007629              0.108932                         0.026601
         17              0.069335                         0.008073              0.110321                         0.027085
         18              0.071541                         0.008627              0.108535                         0.025227
         19              0.074590                         0.009668              0.110833                         0.025169
         20              0.077595                         0.011357              0.110833                         0.025169
         21              0.081115                         0.014908              0.113730                         0.026510
         22              0.084364                         0.018791              0.113730                         0.026510
         23              0.086705                         0.021725              0.113730                         0.026510
         24              0.088192                         0.022454              0.117063                         0.034728
         25              0.089385                         0.022563              0.118175                         0.034296
         26              0.090115                         0.021995              0.118175                         0.034296
         27              0.091738                         0.021868              0.118175                         0.034296
         28              0.093355                         0.022589              0.119563                         0.034260
         29              0.095662                         0.022594              0.120321                         0.033443
         30              0.097708                         0.025532              0.120321                         0.033443
         31              0.099297                         0.028094              0.120321                         0.033443
         32              0.099932                         0.028561              0.120321                         0.033443
         33              0.100703                         0.028372              0.124488                         0.036543
         34              0.101004                         0.028420              0.126869                         0.038591
         35              0.101967                         0.028406              0.129369                         0.037450
         36              0.102031                         0.028825              0.129369                         0.037450
         37              0.102804                         0.028735              0.129369                         0.037450
         38              0.103148                         0.028015              0.129369                         0.037450
         39              0.103918                         0.028444              0.129369                         0.037450
         40              0.104634                         0.029125              0.130278                         0.036511
         41              0.105189                         0.028761              0.130278                         0.036511
         42              0.105856                         0.028918              0.130278                         0.036511
         43              0.107110                         0.028620              0.130278                         0.036511
         44              0.108024                         0.028476              0.131667                         0.035961
         45              0.109648                         0.030108              0.131667                         0.035961
         46              0.110256                         0.029879              0.131667                         0.035961
         47              0.110209                         0.029107              0.131667                         0.035961
         48              0.111208                         0.029334              0.131667                         0.035961
         49              0.111515                         0.029016              0.131667                         0.035961
         50              0.111950                         0.029653              0.131667                         0.035961
