 Generation  Average Mean Fitness  Standard Deviation Mean Fitness  Average Best Fitness  Standard Deviation Best Fitness
          1              0.033244                         0.000442              0.056389                         0.007586
          2              0.033853                         0.000539              0.060144                         0.009488
          3              0.034694                         0.000578              0.062596                         0.009611
          4              0.035878                         0.000578              0.065573                         0.006956
          5              0.037315                         0.000567              0.068816                         0.010189
          6              0.038985                         0.000673              0.071793                         0.010454
          7              0.040911                         0.000893              0.075190                         0.007171
          8              0.042877                         0.001041              0.076786                         0.009048
          9              0.045123                         0.001482              0.078212                         0.007740
         10              0.047704                         0.001757              0.085558                         0.008704
         11              0.050356                         0.002190              0.088285                         0.011290
         12              0.053205                         0.003341              0.092174                         0.014439
         13              0.056100                         0.004241              0.092244                         0.015551
         14              0.059084                         0.005364              0.094551                         0.014715
         15              0.061712                         0.006085              0.100748                         0.013649
         16              0.063990                         0.006441              0.104286                         0.016928
         17              0.066113                         0.006285              0.107063                         0.015309
         18              0.067875                         0.006213              0.108175                         0.015142
         19              0.069675                         0.006481              0.110952                         0.016784
         20              0.072270                         0.006952              0.112543                         0.017855
         21              0.075180                         0.007572              0.114210                         0.015440
         22              0.078404                         0.009325              0.115321                         0.014685
         23              0.081464                         0.010594              0.115321                         0.014685
         24              0.085107                         0.011385              0.116710                         0.014898
         25              0.087462                         0.011549              0.119405                         0.015468
         26              0.090283                         0.011343              0.120794                         0.015263
         27              0.092655                         0.011272              0.122183                         0.014912
         28              0.094411                         0.012195              0.128135                         0.021180
         29              0.096538                         0.012176              0.133532                         0.017222
         30              0.098671                         0.012280              0.133532                         0.017222
         31              0.099965                         0.012559              0.133532                         0.017222
         32              0.101422                         0.013052              0.133532                         0.017222
         33              0.102681                         0.012484              0.133532                         0.017222
         34              0.103211                         0.012318              0.135317                         0.017165
         35              0.105338                         0.011691              0.135317                         0.017165
         36              0.106985                         0.011821              0.141032                         0.026775
         37              0.109114                         0.012733              0.141032                         0.026775
         38              0.110790                         0.012270              0.141032                         0.026775
         39              0.111049                         0.012375              0.141032                         0.026775
         40              0.112458                         0.013511              0.144603                         0.025424
         41              0.114362                         0.012711              0.144603                         0.025424
         42              0.113557                         0.012447              0.144603                         0.025424
         43              0.115098                         0.013873              0.144603                         0.025424
         44              0.115310                         0.014202              0.147937                         0.030347
         45              0.116021                         0.015751              0.147937                         0.030347
         46              0.117075                         0.017261              0.146984                         0.026340
         47              0.117496                         0.018384              0.146984                         0.026340
         48              0.118719                         0.018517              0.146984                         0.026340
         49              0.118751                         0.018155              0.146984                         0.026340
         50              0.119766                         0.018689              0.146984                         0.026340
