Generation  Average Mean Fitness  Standard Deviation Mean Fitness  Average Best Fitness  Standard Deviation Best Fitness
          1              0.033691                         0.000449              0.060668                         0.007346
          2              0.034771                         0.000618              0.061144                         0.007911
          3              0.035842                         0.000886              0.065301                         0.009505
          4              0.037611                         0.001258              0.074700                         0.009990
          5              0.039740                         0.001647              0.077259                         0.008848
          6              0.042177                         0.002260              0.080160                         0.011411
          7              0.044803                         0.003013              0.081545                         0.012134
          8              0.047671                         0.003740              0.084519                         0.010656
          9              0.050791                         0.004327              0.090723                         0.007874
         10              0.053723                         0.004530              0.093652                         0.010402
         11              0.056611                         0.005113              0.098737                         0.008654
         12              0.060182                         0.005891              0.101793                         0.009897
         13              0.063134                         0.005821              0.102904                         0.010290
         14              0.066432                         0.005246              0.111230                         0.013721
         15              0.069536                         0.004158              0.116905                         0.016452
         16              0.072959                         0.004067              0.118294                         0.016495
         17              0.076104                         0.003865              0.121190                         0.017128
         18              0.079106                         0.003598              0.124802                         0.013856
         19              0.082593                         0.005950              0.127579                         0.011907
         20              0.086252                         0.009078              0.127579                         0.011907
         21              0.089880                         0.012160              0.127579                         0.011907
         22              0.092432                         0.013543              0.127579                         0.011907
         23              0.095547                         0.012431              0.129365                         0.012784
         24              0.098411                         0.012185              0.129365                         0.012784
         25              0.101713                         0.011736              0.131151                         0.013341
         26              0.103680                         0.011319              0.135317                         0.017165
         27              0.105554                         0.010924              0.137698                         0.019779
         28              0.107546                         0.010232              0.140079                         0.021799
         29              0.109160                         0.010331              0.140079                         0.021799
         30              0.109572                         0.010151              0.145198                         0.027241
         31              0.110030                         0.010043              0.145198                         0.027241
         32              0.112254                         0.010866              0.145198                         0.027241
         33              0.113460                         0.011048              0.145198                         0.027241
         34              0.115560                         0.012214              0.149921                         0.030266
         35              0.116616                         0.014235              0.149921                         0.030266
         36              0.117833                         0.014808              0.149921                         0.030266
         37              0.118257                         0.015743              0.149921                         0.030266
         38              0.119361                         0.015439              0.149921                         0.030266
         39              0.121197                         0.015860              0.149921                         0.030266
         40              0.122616                         0.016302              0.149921                         0.030266
         41              0.124124                         0.017409              0.149921                         0.030266
         42              0.124775                         0.018244              0.152302                         0.030583
         43              0.127293                         0.021616              0.152302                         0.030583
         44              0.126479                         0.019591              0.152302                         0.030583
         45              0.128620                         0.021343              0.152302                         0.030583
         46              0.128657                         0.021886              0.152302                         0.030583
         47              0.129619                         0.021682              0.152302                         0.030583
         48              0.130451                         0.020824              0.152302                         0.030583
         49              0.129987                         0.021867              0.152302                         0.030583
         50              0.131106                         0.021711              0.152302                         0.030583
