Generation  Average Mean Fitness  Standard Deviation Mean Fitness  Average Best Fitness  Standard Deviation Best Fitness
          1              0.034148                         0.000367                0.0467                         0.003144
          2              0.036053                         0.000378                0.0467                         0.003144
          3              0.038620                         0.000473                0.0467                         0.003144
          4              0.041496                         0.000611                0.0467                         0.003144
          5              0.044169                         0.001448                0.0467                         0.003144
          6              0.045937                         0.002543                0.0467                         0.003144
          7              0.046537                         0.003090                0.0467                         0.003144
          8              0.046653                         0.003132                0.0467                         0.003144
          9              0.046697                         0.003143                0.0467                         0.003144
         10              0.046700                         0.003144                0.0467                         0.003144
         11              0.046700                         0.003144                0.0467                         0.003144
         12              0.046700                         0.003144                0.0467                         0.003144
         13              0.046700                         0.003144                0.0467                         0.003144
         14              0.046700                         0.003144                0.0467                         0.003144
         15              0.046700                         0.003144                0.0467                         0.003144
         16              0.046700                         0.003144                0.0467                         0.003144
         17              0.046700                         0.003144                0.0467                         0.003144
         18              0.046700                         0.003144                0.0467                         0.003144
         19              0.046700                         0.003144                0.0467                         0.003144
         20              0.046700                         0.003144                0.0467                         0.003144
         21              0.046700                         0.003144                0.0467                         0.003144
         22              0.046700                         0.003144                0.0467                         0.003144
         23              0.046700                         0.003144                0.0467                         0.003144
         24              0.046700                         0.003144                0.0467                         0.003144
         25              0.046700                         0.003144                0.0467                         0.003144
         26              0.046700                         0.003144                0.0467                         0.003144
         27              0.046700                         0.003144                0.0467                         0.003144
         28              0.046700                         0.003144                0.0467                         0.003144
         29              0.046700                         0.003144                0.0467                         0.003144
         30              0.046700                         0.003144                0.0467                         0.003144
         31              0.046700                         0.003144                0.0467                         0.003144
         32              0.046700                         0.003144                0.0467                         0.003144
         33              0.046700                         0.003144                0.0467                         0.003144
         34              0.046700                         0.003144                0.0467                         0.003144
         35              0.046700                         0.003144                0.0467                         0.003144
         36              0.046700                         0.003144                0.0467                         0.003144
         37              0.046700                         0.003144                0.0467                         0.003144
         38              0.046700                         0.003144                0.0467                         0.003144
         39              0.046700                         0.003144                0.0467                         0.003144
         40              0.046700                         0.003144                0.0467                         0.003144
         41              0.046700                         0.003144                0.0467                         0.003144
         42              0.046700                         0.003144                0.0467                         0.003144
         43              0.046700                         0.003144                0.0467                         0.003144
         44              0.046700                         0.003144                0.0467                         0.003144
         45              0.046700                         0.003144                0.0467                         0.003144
         46              0.046700                         0.003144                0.0467                         0.003144
         47              0.046700                         0.003144                0.0467                         0.003144
         48              0.046700                         0.003144                0.0467                         0.003144
         49              0.046700                         0.003144                0.0467                         0.003144
         50              0.046700                         0.003144                0.0467                         0.003144
