Generation  Average Mean Fitness  Standard Deviation Mean Fitness  Average Best Fitness  Standard Deviation Best Fitness
          1              0.033749                         0.000379              0.049560                         0.004118
          2              0.034430                         0.000448              0.050753                         0.003709
          3              0.035099                         0.000494              0.051686                         0.004953
          4              0.035918                         0.000708              0.053066                         0.005426
          5              0.036847                         0.001153              0.054316                         0.006046
          6              0.037989                         0.001985              0.055858                         0.006256
          7              0.039395                         0.003074              0.056804                         0.006240
          8              0.040894                         0.003984              0.058025                         0.005856
          9              0.042183                         0.004369              0.058644                         0.005541
         10              0.043619                         0.004600              0.059562                         0.005077
         11              0.044750                         0.004786              0.060406                         0.005993
         12              0.045762                         0.004781              0.061250                         0.006669
         13              0.046922                         0.005049              0.062216                         0.007894
         14              0.047609                         0.004956              0.062857                         0.009347
         15              0.048365                         0.005037              0.063934                         0.008955
         16              0.049134                         0.005059              0.065018                         0.010631
         17              0.050019                         0.004961              0.065386                         0.010455
         18              0.050784                         0.004930              0.065386                         0.010455
         19              0.051771                         0.004989              0.065678                         0.010094
         20              0.052534                         0.005499              0.065678                         0.010094
         21              0.053498                         0.005550              0.065678                         0.010094
         22              0.054322                         0.006074              0.065678                         0.010094
         23              0.055002                         0.006185              0.065678                         0.010094
         24              0.055849                         0.006670              0.066095                         0.010034
         25              0.056557                         0.006993              0.066095                         0.010034
         26              0.057029                         0.007151              0.066095                         0.010034
         27              0.057413                         0.007284              0.066095                         0.010034
         28              0.057682                         0.007503              0.066095                         0.010034
         29              0.057797                         0.007455              0.066095                         0.010034
         30              0.058151                         0.007606              0.066512                         0.009954
         31              0.058422                         0.007359              0.066512                         0.009954
         32              0.058423                         0.007625              0.066988                         0.010076
         33              0.058787                         0.007556              0.066988                         0.010076
         34              0.059115                         0.008072              0.067537                         0.010486
         35              0.059337                         0.008036              0.067537                         0.010486
         36              0.059373                         0.008222              0.067537                         0.010486
         37              0.059752                         0.008268              0.067537                         0.010486
         38              0.059830                         0.008182              0.067537                         0.010486
         39              0.060231                         0.008215              0.067537                         0.010486
         40              0.060408                         0.008191              0.067537                         0.010486
         41              0.060284                         0.008343              0.067537                         0.010486
         42              0.060463                         0.008343              0.067537                         0.010486
         43              0.060670                         0.007975              0.067537                         0.010486
         44              0.060813                         0.008447              0.067537                         0.010486
         45              0.061004                         0.008733              0.067864                         0.010116
         46              0.060808                         0.008267              0.067864                         0.010116
         47              0.060952                         0.008414              0.067864                         0.010116
         48              0.061188                         0.008436              0.067864                         0.010116
         49              0.061310                         0.008116              0.067864                         0.010116
         50              0.061499                         0.008022              0.067864                         0.010116
