Generation  Average Mean Fitness  Standard Deviation Mean Fitness  Average Best Fitness  Standard Deviation Best Fitness
          1              0.033521                         0.000198              0.047869                         0.003749
          2              0.034167                         0.000281              0.051216                         0.007301
          3              0.034886                         0.000443              0.052218                         0.007054
          4              0.035609                         0.000603              0.052218                         0.007054
          5              0.036520                         0.000858              0.053075                         0.007208
          6              0.037566                         0.001303              0.054960                         0.006638
          7              0.038803                         0.001626              0.056101                         0.006229
          8              0.039994                         0.001982              0.056913                         0.007572
          9              0.041169                         0.002069              0.057469                         0.007203
         10              0.042464                         0.002424              0.058122                         0.007142
         11              0.043884                         0.003546              0.060369                         0.008499
         12              0.045487                         0.005200              0.061431                         0.008315
         13              0.046854                         0.006244              0.063176                         0.010027
         14              0.047837                         0.006234              0.063176                         0.010027
         15              0.048762                         0.006085              0.063960                         0.009955
         16              0.049644                         0.006220              0.063960                         0.009955
         17              0.050561                         0.006005              0.063960                         0.009955
         18              0.051555                         0.006059              0.063960                         0.009955
         19              0.052552                         0.006303              0.064328                         0.009811
         20              0.053781                         0.006674              0.064328                         0.009811
         21              0.054687                         0.007228              0.065605                         0.012423
         22              0.055451                         0.007470              0.066021                         0.012377
         23              0.055891                         0.007658              0.066497                         0.012496
         24              0.056386                         0.008098              0.066865                         0.012297
         25              0.056528                         0.007694              0.066865                         0.012297
         26              0.056976                         0.007635              0.067341                         0.012381
         27              0.057258                         0.008006              0.069762                         0.011318
         28              0.057881                         0.007985              0.069762                         0.011318
         29              0.058267                         0.008122              0.069762                         0.011318
         30              0.058559                         0.008578              0.070311                         0.011539
         31              0.058590                         0.008113              0.070311                         0.011539
         32              0.059164                         0.008706              0.070311                         0.011539
         33              0.059413                         0.008310              0.070311                         0.011539
         34              0.060048                         0.008927              0.071204                         0.011208
         35              0.060340                         0.009160              0.071621                         0.010922
         36              0.060764                         0.009402              0.071621                         0.010922
         37              0.060924                         0.009370              0.072262                         0.011443
         38              0.061530                         0.009733              0.072262                         0.011443
         39              0.061907                         0.010014              0.072262                         0.011443
         40              0.062566                         0.009891              0.072262                         0.011443
         41              0.063179                         0.009524              0.072262                         0.011443
         42              0.063544                         0.009634              0.072262                         0.011443
         43              0.063797                         0.009173              0.072262                         0.011443
         44              0.064284                         0.009652              0.072262                         0.011443
         45              0.064102                         0.009346              0.072262                         0.011443
         46              0.064364                         0.009254              0.072262                         0.011443
         47              0.064472                         0.009452              0.072262                         0.011443
         48              0.064609                         0.009789              0.072738                         0.011283
         49              0.065068                         0.009894              0.072738                         0.011283
         50              0.065005                         0.009804              0.073496                         0.012283
