Generation  Average Mean Fitness  Standard Deviation Mean Fitness  Average Best Fitness  Standard Deviation Best Fitness
          1              0.033479                         0.000399              0.048028                         0.003075
          2              0.034001                         0.000494              0.051017                         0.003743
          3              0.034540                         0.000485              0.048851                         0.004289
          4              0.035072                         0.000507              0.048503                         0.003334
          5              0.035644                         0.000575              0.050048                         0.004176
          6              0.036280                         0.000656              0.049938                         0.003248
          7              0.036927                         0.000839              0.051326                         0.004229
          8              0.037711                         0.001023              0.052299                         0.003514
          9              0.038573                         0.001191              0.052193                         0.002546
         10              0.039521                         0.001401              0.053373                         0.003342
         11              0.040333                         0.001593              0.053706                         0.003834
         12              0.041172                         0.001817              0.054484                         0.002886
         13              0.041991                         0.001837              0.055103                         0.003100
         14              0.042726                         0.002006              0.055103                         0.003100
         15              0.043670                         0.001962              0.057299                         0.003133
         16              0.044609                         0.001870              0.056646                         0.003082
         17              0.045543                         0.001955              0.057299                         0.003133
         18              0.046701                         0.002161              0.057626                         0.003101
         19              0.047649                         0.002447              0.058778                         0.004421
         20              0.048403                         0.002711              0.059438                         0.004190
         21              0.048956                         0.002643              0.058980                         0.003150
         22              0.049438                         0.002536              0.060132                         0.004048
         23              0.049884                         0.002435              0.060500                         0.004083
         24              0.050661                         0.002384              0.061119                         0.003110
         25              0.051023                         0.002293              0.060132                         0.004048
         26              0.051707                         0.002323              0.060827                         0.003761
         27              0.052355                         0.002741              0.060827                         0.003761
         28              0.053094                         0.003294              0.060500                         0.004083
         29              0.053616                         0.003663              0.060500                         0.004083
         30              0.053804                         0.003940              0.060827                         0.003761
         31              0.054139                         0.003825              0.061446                         0.002589
         32              0.054465                         0.003916              0.061446                         0.002589
         33              0.054462                         0.003743              0.062279                         0.003426
         34              0.054691                         0.003734              0.062279                         0.003426
         35              0.054963                         0.003849              0.062279                         0.003426
         36              0.055040                         0.003490              0.062647                         0.003204
         37              0.055345                         0.003519              0.062647                         0.003204
         38              0.055629                         0.003441              0.062647                         0.003204
         39              0.055712                         0.003377              0.062647                         0.003204
         40              0.055791                         0.003199              0.062647                         0.003204
         41              0.056135                         0.003054              0.063015                         0.002915
         42              0.056356                         0.002952              0.063431                         0.003123
         43              0.056590                         0.002890              0.063848                         0.003260
         44              0.057005                         0.002711              0.064632                         0.002833
         45              0.057430                         0.002915              0.064632                         0.002833
         46              0.057460                         0.002878              0.064216                         0.002806
         47              0.057728                         0.002937              0.063848                         0.003260
         48              0.057456                         0.002879              0.063848                         0.003260
         49              0.057703                         0.002863              0.064324                         0.003985
         50              0.057787                         0.002939              0.064324                         0.003985
