Generation  Average Mean Fitness  Standard Deviation Mean Fitness  Average Best Fitness  Standard Deviation Best Fitness
          1              0.033365                         0.000254              0.046903                         0.003062
          2              0.033932                         0.000377              0.047947                         0.002344
          3              0.034553                         0.000387              0.049569                         0.004258
          4              0.035152                         0.000395              0.050048                         0.004176
          5              0.035811                         0.000539              0.052634                         0.004073
          6              0.036568                         0.000675              0.054518                         0.003247
          7              0.037416                         0.000908              0.056804                         0.004531
          8              0.038396                         0.001293              0.057464                         0.004630
          9              0.039499                         0.001664              0.058084                         0.004315
         10              0.040813                         0.002186              0.059690                         0.003373
         11              0.041973                         0.002376              0.059690                         0.003373
         12              0.043204                         0.002434              0.060057                         0.003467
         13              0.044356                         0.002680              0.061258                         0.004393
         14              0.045707                         0.002900              0.061675                         0.004710
         15              0.047451                         0.003222              0.063262                         0.005079
         16              0.048972                         0.003594              0.063262                         0.005079
         17              0.050105                         0.003677              0.063630                         0.004849
         18              0.051165                         0.003678              0.065023                         0.006127
         19              0.051819                         0.003813              0.065023                         0.006127
         20              0.052740                         0.004042              0.065023                         0.006127
         21              0.053440                         0.004095              0.066465                         0.007090
         22              0.054024                         0.004179              0.066465                         0.007090
         23              0.054856                         0.004562              0.066882                         0.006952
         24              0.055496                         0.004506              0.067358                         0.007097
         25              0.056294                         0.005145              0.067775                         0.006900
         26              0.056626                         0.005499              0.067775                         0.006900
         27              0.057070                         0.005743              0.067775                         0.006900
         28              0.057211                         0.005378              0.067775                         0.006900
         29              0.057609                         0.005496              0.068251                         0.006978
         30              0.057936                         0.005568              0.068251                         0.006978
         31              0.058279                         0.005586              0.068251                         0.006978
         32              0.058398                         0.005630              0.068251                         0.006978
         33              0.058864                         0.005639              0.068251                         0.006978
         34              0.059387                         0.005567              0.068727                         0.007021
         35              0.059698                         0.005635              0.068727                         0.007021
         36              0.060231                         0.005844              0.068727                         0.007021
         37              0.060480                         0.005814              0.068727                         0.007021
         38              0.060618                         0.005611              0.068727                         0.007021
         39              0.060825                         0.005785              0.068727                         0.007021
         40              0.061077                         0.005667              0.068727                         0.007021
         41              0.061229                         0.005807              0.068727                         0.007021
         42              0.061309                         0.005716              0.068727                         0.007021
         43              0.061378                         0.005694              0.068727                         0.007021
         44              0.061493                         0.005746              0.068727                         0.007021
         45              0.061859                         0.005908              0.068727                         0.007021
         46              0.061951                         0.005929              0.068727                         0.007021
         47              0.061959                         0.005494              0.069368                         0.008067
         48              0.062197                         0.005839              0.069368                         0.008067
         49              0.062099                         0.005693              0.069368                         0.008067
         50              0.062236                         0.005701              0.069368                         0.008067
